Организация;;;;;;Начальный остаток;Приход;Расход;Конечный остаток
Склад;;;;;;Количество;Количество;Количество;Количество
Источник финансирования;;;;;;;;;
Номенклатура;;;;;Ед. изм.;;;;
Серия номенклатуры, Партия;;;;;;;;;
Регистратор;;;;;;;;;
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;56,000;;56,000;
Клопидогрел, табл. п.п.о. 75 мг, бл. 7, пач. картон. 4  Розлекс 01.23;;;;;шт;728,00;;728,000;
0050822 до 30.09.25, <партии не учитываются>;;;;;;196,000;;196,000;
Отпуск в отделение 0000-000052 от 12.02.2024 10:08:46;;;;;;196,000;;196,000;
0110922 до 31.10.25, <партии не учитываются>;;;;;;532,000;;532,000;
Отпуск в отделение 0000-000052 от 12.02.2024 10:08:46;;;;;;532,000;;84,000;448,000
Отпуск в отделение 0000-000060 от 19.02.2024 11:14:10;;;;;;448,000;;140,000;308,000
Отпуск в отделение 0000-000063 от 21.02.2024 9:44:05;;;;;;308,000;;140,000;168,000
Отпуск в отделение 0000-000084 от 06.03.2024 9:46:40;;;;;;168,000;;168,000;
Клопидогрел, табл. п.п.о. 75 мг, бл. 7, пач. картон. 4 Скан Биотек;;;;;шт;;1 400,000;140,000;1 260,000
0030824 до 30.09.27, <партии не учитываются>;;;;;;;1 400,000;140,000;1 260,000
Поступление товаров 0000-000105 от 11.12.2024 11:48:21;;;;;;;1 400,000;;1 400,000
Отпуск в отделение 0000-000531 от 27.12.2024 13:33:59;;;;;;1 400,000;;140,000;1 260,000
Лейкопластырь 2*500;;;;;шт;464,000;2 280,000;1 588,000;1 156,000
<серии не учитываются>, <партии не учитываются>;;;;;;464,000;2 280,000;1 588,000;1 156,000
Отпуск в отделение 0000-000020 от 18.01.2024 16:03:21;;;;;;464,000;;20,000;444,000
Отпуск в отделение 0000-000038 от 02.02.2024 11:32:13;;;;;;444,000;;30,000;414,000
Отпуск в отделение 0000-000048 от 07.02.2024 13:21:23;;;;;;414,000;;30,000;384,000
Отпуск в отделение 0000-000054 от 12.02.2024 16:36:56;;;;;;384,000;;50,000;334,000
Отпуск в отделение 0000-000070 от 26.02.2024 9:53:14;;;;;;334,000;;50,000;284,000
Отпуск в отделение 0000-000074 от 27.02.2024 15:25:48;;;;;;284,000;;20,000;264,000
Отпуск в отделение 0000-000088 от 06.03.2024 11:24:26;;;;;;264,000;;20,000;244,000
Отпуск в отделение 0000-000102 от 15.03.2024 13:01:09;;;;;;244,000;;50,000;194,000
Отпуск в отделение 0000-000105 от 18.03.2024 11:18:10;;;;;;194,000;;50,000;144,000
Отпуск в отделение 0000-000109 от 22.03.2024 10:41:58;;;;;;144,000;;20,000;124,000
Поступление товаров 0000-000011 от 25.03.2024 13:26:43;;;;;;124,000;570,000;;694,000
Отпуск в отделение 0000-000135 от 05.04.2024 15:38:39;;;;;;694,000;;30,000;664,000
Отпуск в отделение 0000-000138 от 08.04.2024 11:11:51;;;;;;664,000;;20,000;644,000
Отпуск в отделение 0000-000141 от 09.04.2024 11:54:04;;;;;;644,000;;20,000;624,000
Отпуск в отделение 0000-000171 от 24.04.2024 11:54:51;;;;;;624,000;;50,000;574,000
Отпуск в отделение 0000-000191 от 08.05.2024 10:41:16;;;;;;574,000;;30,000;544,000
Отпуск в отделение 0000-000195 от 15.05.2024 11:39:36;;;;;;544,000;;46,000;498,000
Отпуск в отделение 0000-000216 от 24.05.2024 10:01:50;;;;;;498,000;;14,000;484,000
Отпуск в отделение 0000-000226 от 29.05.2024 16:25:47;;;;;;484,000;;56,000;428,000
Поступление товаров 0000-000040 от 03.06.2024 14:07:20;;;;;;428,000;570,000;;998,000
Отпуск в отделение 0000-000234 от 04.06.2024 14:48:25;;;;;;998,000;;70,000;928,000
Отпуск в отделение 0000-000241 от 10.06.2024 11:01:56;;;;;;928,000;;28,000;900,000
Отпуск в отделение 0000-000246 от 18.06.2024 13:11:46;;;;;;900,000;;50,000;850,000
Отпуск в отделение 0000-000258 от 24.06.2024 11:11:48;;;;;;850,000;;14,000;836,000
Отпуск в отделение 0000-000277 от 05.07.2024 13:30:21;;;;;;836,000;;42,000;794,000
Отпуск в отделение 0000-000284 от 12.07.2024 11:21:40;;;;;;794,000;;42,000;752,000
Отпуск в отделение 0000-000297 от 17.07.2024 15:45:02;;;;;;752,000;;28,000;724,000
Отпуск в отделение 0000-000298 от 19.07.2024 10:58:05;;;;;;724,000;;28,000;696,000
Поступление товаров 0000-000065 от 05.08.2024 13:48:50;;;;;;696,000;570,000;;1 266,000
Отпуск в отделение 0000-000330 от 12.08.2024 14:40:56;;;;;;1 266,000;;28,000;1 238,000
Отпуск в отделение 0000-000342 от 19.08.2024 10:09:23;;;;;;1 238,000;;28,000;1 210,000
Отпуск в отделение 0000-000348 от 23.08.2024 11:09:52;;;;;;1 210,000;;28,000;1 182,000
Отпуск в отделение 0000-000353 от 26.08.2024 10:23:25;;;;;;1 182,000;;28,000;1 154,000
Отпуск в отделение 0000-000367 от 09.09.2024 9:48:15;;;;;;1 154,000;;50,000;1 104,000
Отпуск в отделение 0000-000391 от 27.09.2024 10:32:23;;;;;;1 104,000;;28,000;1 076,000
Отпуск в отделение 0000-000399 от 04.10.2024 10:29:22;;;;;;1 076,000;;80,000;996,000
Отпуск в отделение 0000-000401 от 08.10.2024 9:27:41;;;;;;996,000;;56,000;940,000
Отпуск в отделение 0000-000406 от 09.10.2024 10:42:08;;;;;;940,000;;28,000;912,000
Отпуск в отделение 0000-000439 от 02.11.2024 14:28:46;;;;;;912,000;;28,000;884,000
Отпуск в отделение 0000-000446 от 06.11.2024 11:30:40;;;;;;884,000;;30,000;854,000
Отпуск в отделение 0000-000450 от 08.11.2024 11:42:08;;;;;;854,000;;28,000;826,000
Отпуск в отделение 0000-000468 от 20.11.2024 11:14:34;;;;;;826,000;;28,000;798,000
Поступление товаров 0000-000098 от 20.11.2024 13:14:48;;;;;;798,000;570,000;;1 368,000
Отпуск в отделение 0000-000472 от 25.11.2024 9:48:13;;;;;;1 368,000;;28,000;1 340,000
Отпуск в отделение 0000-000481 от 28.11.2024 14:14:02;;;;;;1 340,000;;28,000;1 312,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;1 312,000;;14,000;1 298,000
Отпуск в отделение 0000-000512 от 17.12.2024 15:51:56;;;;;;1 298,000;;70,000;1 228,000
Отпуск в отделение 0000-000525 от 25.12.2024 16:33:37;;;;;;1 228,000;;30,000;1 198,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;1 198,000;;42,000;1 156,000
Лейкопластырь бактерицидный;;;;;шт;1 494,000;3 000,000;2 486,000;2 008,000
<серии не учитываются>, <партии не учитываются>;;;;;;1 494,000;3 000,000;2 486,000;2 008,000
Отпуск в отделение 0000-000013 от 15.01.2024 11:52:52;;;;;;1 494,000;;100,000;1 394,000
Отпуск в отделение 0000-000018 от 16.01.2024 16:04:21;;;;;;1 394,000;;80,000;1 314,000
Отпуск в отделение 0000-000057 от 16.02.2024 10:36:29;;;;;;1 314,000;;100,000;1 214,000
Отпуск в отделение 0000-000091 от 11.03.2024 10:47:12;;;;;;1 214,000;;30,000;1 184,000
Отпуск в отделение 0000-000109 от 22.03.2024 10:41:58;;;;;;1 184,000;;80,000;1 104,000
Отпуск в отделение 0000-000118 от 27.03.2024 10:39:35;;;;;;1 104,000;;100,000;1 004,000
Отпуск в отделение 0000-000132 от 03.04.2024 11:32:30;;;;;;1 004,000;;80,000;924,000
Отпуск в отделение 0000-000138 от 08.04.2024 11:11:51;;;;;;924,000;;20,000;904,000
Отпуск в отделение 0000-000152 от 15.04.2024 9:08:21;;;;;;904,000;;20,000;884,000
Отпуск в отделение 0000-000176 от 26.04.2024 11:07:57;;;;;;884,000;;80,000;804,000
Поступление товаров 0000-000030 от 06.05.2024 11:32:38;;;;;;804,000;3 000,000;;3 804,000
Отпуск в отделение 0000-000195 от 15.05.2024 11:39:36;;;;;;3 804,000;;160,000;3 644,000
Отпуск в отделение 0000-000232 от 03.06.2024 16:00:39;;;;;;3 644,000;;80,000;3 564,000
Отпуск в отделение 0000-000234 от 04.06.2024 14:48:25;;;;;;3 564,000;;160,000;3 404,000
Отпуск в отделение 0000-000241 от 10.06.2024 11:01:56;;;;;;3 404,000;;100,000;3 304,000
Отпуск в отделение 0000-000246 от 18.06.2024 13:11:46;;;;;;3 304,000;;100,000;3 204,000
Отпуск в отделение 0000-000258 от 24.06.2024 11:11:48;;;;;;3 204,000;;24,000;3 180,000
Отпуск в отделение 0000-000295 от 17.07.2024 11:39:22;;;;;;3 180,000;;80,000;3 100,000
Отпуск в отделение 0000-000297 от 17.07.2024 15:45:02;;;;;;3 100,000;;160,000;2 940,000
Отпуск в отделение 0000-000330 от 12.08.2024 14:40:56;;;;;;2 940,000;;80,000;2 860,000
Отпуск в отделение 0000-000352 от 26.08.2024 10:20:59;;;;;;2 860,000;;80,000;2 780,000
Отпуск в отделение 0000-000353 от 26.08.2024 10:23:25;;;;;;2 780,000;;50,000;2 730,000
Отпуск в отделение 0000-000366 от 05.09.2024 15:31:33;;;;;;2 730,000;;80,000;2 650,000
Отпуск в отделение 0000-000381 от 19.09.2024 8:02:17;;;;;;2 650,000;;120,000;2 530,000
Отпуск в отделение 0000-000416 от 18.10.2024 11:09:16;;;;;;2 530,000;;80,000;2 450,000
Отпуск в отделение 0000-000461 от 18.11.2024 10:15:17;;;;;;2 450,000;;80,000;2 370,000
Отпуск в отделение 0000-000466 от 20.11.2024 10:50:41;;;;;;2 370,000;;160,000;2 210,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;2 210,000;;80,000;2 130,000
Отпуск в отделение 0000-000501 от 09.12.2024 13:15:38;;;;;;2 130,000;;26,000;2 104,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;2 104,000;;96,000;2 008,000
Лейкопластырь медицинский для фиксации катетеров;;;;;шт;1 100,000;5 100,000;6 200,000;
<серии не учитываются>, <партии не учитываются>;;;;;;1 100,000;5 100,000;6 200,000;
Отпуск в отделение 0000-000013 от 15.01.2024 11:52:52;;;;;;1 100,000;;200,000;900,000
Отпуск в отделение 0000-000018 от 16.01.2024 16:04:21;;;;;;900,000;;300,000;600,000
Отпуск в отделение 0000-000024 от 22.01.2024 10:24:53;;;;;;600,000;;50,000;550,000
Отпуск в отделение 0000-000041 от 05.02.2024 13:36:06;;;;;;550,000;;100,000;450,000
Отпуск в отделение 0000-000057 от 16.02.2024 10:36:29;;;;;;450,000;;200,000;250,000
Отпуск в отделение 0000-000088 от 06.03.2024 11:24:26;;;;;;250,000;;150,000;100,000
Отпуск в отделение 0000-000091 от 11.03.2024 10:47:12;;;;;;100,000;;100,000;
Отпуск в отделение 0000-000185 от 06.05.2024 11:28:59;;;;;;;;200,000;-200,000
Поступление товаров 0000-000030 от 06.05.2024 11:32:38;;;;;;-200,000;5 100,000;;4 900,000
Отпуск в отделение 0000-000186 от 06.05.2024 11:37:37;;;;;;4 900,000;;200,000;4 700,000
Отпуск в отделение 0000-000187 от 06.05.2024 11:39:06;;;;;;4 700,000;;300,000;4 400,000
Отпуск в отделение 0000-000195 от 15.05.2024 11:39:36;;;;;;4 400,000;;300,000;4 100,000
Отпуск в отделение 0000-000212 от 22.05.2024 9:20:34;;;;;;4 100,000;;200,000;3 900,000
Отпуск в отделение 0000-000234 от 04.06.2024 14:48:25;;;;;;3 900,000;;100,000;3 800,000
Отпуск в отделение 0000-000250 от 19.06.2024 11:22:49;;;;;;3 800,000;;200,000;3 600,000
Отпуск в отделение 0000-000258 от 24.06.2024 11:11:48;;;;;;3 600,000;;300,000;3 300,000
Отпуск в отделение 0000-000277 от 05.07.2024 13:30:21;;;;;;3 300,000;;100,000;3 200,000
Отпуск в отделение 0000-000287 от 15.07.2024 10:08:21;;;;;;3 200,000;;100,000;3 100,000
Отпуск в отделение 0000-000297 от 17.07.2024 15:45:02;;;;;;3 100,000;;200,000;2 900,000
Отпуск в отделение 0000-000310 от 29.07.2024 11:47:29;;;;;;2 900,000;;200,000;2 700,000
Отпуск в отделение 0000-000322 от 07.08.2024 13:24:49;;;;;;2 700,000;;100,000;2 600,000
Отпуск в отделение 0000-000342 от 19.08.2024 10:09:23;;;;;;2 600,000;;100,000;2 500,000
Отпуск в отделение 0000-000347 от 22.08.2024 11:55:08;;;;;;2 500,000;;100,000;2 400,000
Отпуск в отделение 0000-000352 от 26.08.2024 10:20:59;;;;;;2 400,000;;200,000;2 200,000
Отпуск в отделение 0000-000366 от 05.09.2024 15:31:33;;;;;;2 200,000;;200,000;2 000,000
Отпуск в отделение 0000-000394 от 01.10.2024 10:28:39;;;;;;2 000,000;;100,000;1 900,000
Отпуск в отделение 0000-000401 от 08.10.2024 9:27:41;;;;;;1 900,000;;200,000;1 700,000
Отпуск в отделение 0000-000406 от 09.10.2024 10:42:08;;;;;;1 700,000;;200,000;1 500,000
Отпуск в отделение 0000-000416 от 18.10.2024 11:09:16;;;;;;1 500,000;;200,000;1 300,000
Отпуск в отделение 0000-000425 от 23.10.2024 10:44:27;;;;;;1 300,000;;100,000;1 200,000
Отпуск в отделение 0000-000446 от 06.11.2024 11:30:40;;;;;;1 200,000;;100,000;1 100,000
Отпуск в отделение 0000-000455 от 11.11.2024 13:26:22;;;;;;1 100,000;;300,000;800,000
Отпуск в отделение 0000-000458 от 15.11.2024 10:55:52;;;;;;800,000;;200,000;600,000
Отпуск в отделение 0000-000464 от 18.11.2024 11:55:07;;;;;;600,000;;100,000;500,000
Отпуск в отделение 0000-000466 от 20.11.2024 10:50:41;;;;;;500,000;;200,000;300,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;300,000;;100,000;200,000
Отпуск в отделение 0000-000504 от 10.12.2024 14:11:47;;;;;;200,000;;100,000;100,000
Отпуск в отделение 0000-000509 от 16.12.2024 9:44:18;;;;;;100,000;;100,000;
Лента диаграммная из термобумаги;;;;;шт;1 032,000;2 400,000;2 100,000;1 332,000
<серии не учитываются>, <партии не учитываются>;;;;;;1 032,000;2 400,000;2 100,000;1 332,000
Отпуск в отделение 0000-000006 от 09.01.2024 14:00:02;;;;;;1 032,000;;100,000;932,000
Отпуск в отделение 0000-000021 от 19.01.2024 14:31:55;;;;;;932,000;;100,000;832,000
Отпуск в отделение 0000-000048 от 07.02.2024 13:21:23;;;;;;832,000;;100,000;732,000
Отпуск в отделение 0000-000054 от 12.02.2024 16:36:56;;;;;;732,000;;100,000;632,000
Отпуск в отделение 0000-000080 от 04.03.2024 10:14:04;;;;;;632,000;;100,000;532,000
Отпуск в отделение 0000-000093 от 11.03.2024 11:16:47;;;;;;532,000;;100,000;432,000
Поступление товаров 0000-000028 от 24.04.2024 11:02:37;;;;;;432,000;2 400,000;;2 832,000
Отпуск в отделение 0000-000171 от 24.04.2024 11:54:51;;;;;;2 832,000;;100,000;2 732,000
Отпуск в отделение 0000-000195 от 15.05.2024 11:39:36;;;;;;2 732,000;;100,000;2 632,000
Отпуск в отделение 0000-000232 от 03.06.2024 16:00:39;;;;;;2 632,000;;100,000;2 532,000
Отпуск в отделение 0000-000239 от 10.06.2024 10:41:53;;;;;;2 532,000;;100,000;2 432,000
Отпуск в отделение 0000-000287 от 15.07.2024 10:08:21;;;;;;2 432,000;;100,000;2 332,000
Отпуск в отделение 0000-000295 от 17.07.2024 11:39:22;;;;;;2 332,000;;100,000;2 232,000
Отпуск в отделение 0000-000297 от 17.07.2024 15:45:02;;;;;;2 232,000;;100,000;2 132,000
Отпуск в отделение 0000-000374 от 11.09.2024 11:18:03;;;;;;2 132,000;;100,000;2 032,000
Отпуск в отделение 0000-000381 от 19.09.2024 8:02:17;;;;;;2 032,000;;100,000;1 932,000
Отпуск в отделение 0000-000416 от 18.10.2024 11:09:16;;;;;;1 932,000;;100,000;1 832,000
Отпуск в отделение 0000-000432 от 28.10.2024 10:26:41;;;;;;1 832,000;;100,000;1 732,000
Отпуск в отделение 0000-000466 от 20.11.2024 10:50:41;;;;;;1 732,000;;100,000;1 632,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;1 632,000;;100,000;1 532,000
